id_umkm,nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,status_legalitas,tahun_berdiri,laba,biaya_karyawan,jumlah_pelanggan
28828578,UD. Jafar Gandewa,Pendidikan,27.0,36.0,9106010.0,43942442.0,Tokopedia,580.0,Belum Terdaftar,2008,34836432.0,189000000.0,580.0
28828579,UD. Elyas Wiraatmaja,Perdagangan,11.0,81.0,4557522.0,21622680.0,Bukalapak,593.0,Belum Terdaftar,2015,17065158.0,276000000.0,593.0
28828580,UD. Erlangga Wiyata,Kesehatan,95.0,41.0,1961437.0,11702080.0,Website Sendiri,26.0,Belum Terdaftar,2004,9740643.0,408000000.0,26.0
28828581,UD. Hasna Saputranegara,Kesehatan,51.0,47.0,606340.0,13250815.0,Shopee,143.0,Belum Terdaftar,2019,12644475.0,294000000.0,143.0
28828582,UD. Halim Surya,Data tidak tersedia,76.0,99.0,5782560.0,19091583.0,Tokopedia,581.0,Belum Terdaftar,2000,13309023.0,525000000.0,581.0
28828583,UD. Farhan Mulyo,Pendidikan,86.0,60.0,7888385.0,42399115.0,Website Sendiri,321.0,Belum Terdaftar,2009,34510730.0,438000000.0,321.0
28828584,UD. Farhan Sukadarma,Perdagangan,99.0,61.0,1242635.0,43856444.0,Tokopedia,661.0,Belum Terdaftar,2016,42613809.0,480000000.0,661.0
28828585,UD. Qisha Saprahan,Perdagangan,57.0,54.0,8835217.0,49273062.0,Bukalapak,542.0,Belum Terdaftar,2022,40437845.0,333000000.0,542.0
28828586,UD. Tasya Tunggul,Kesehatan,93.0,48.6,8613350.0,38233714.0,Website Sendiri,852.0,Terdaftar,2024,29620364.0,387000000.0,852.0
28828587,UD. Yudi Kamajaya,Pendidikan,21.0,14.0,6784828.0,14384473.0,Website Sendiri,203.0,Terdaftar,2018,7599645.0,105000000.0,203.0
28828588,UD. Putri Wiraatmaja Rafif,Perdagangan,44.0,58.0,4791730.0,32773263.4,Website Sendiri,904.0,Terdaftar,2016,27949766.0,306000000.0,904.0
28828589,UD. Olivia Kusumasari,Pendidikan,61.0,62.0,7010703.0,33753747.0,Shopee,669.0,Terdaftar,2020,26743044.0,369000000.0,669.0
28828590,UD. Dea Tunggul Ziva,Perdagangan,41.0,65.0,3938582.0,46254838.0,Website Sendiri,841.0,Terdaftar,2014,42316256.0,318000000.0,841.0
28828591,UD. Iqra Panji,Pendidikan,66.0,41.0,4765067.0,35105093.0,Tokopedia,633.0,Belum Terdaftar,2002,30340026.0,321000000.0,633.0
28828592,UD. Tono Surapati,Kesehatan,8.0,30.0,5623602.0,35927094.0,Website Sendiri,285.0,Terdaftar,2009,30303492.0,114000000.0,285.0
28828593,UD. Qisha Kusumah,Perdagangan,63.0,5.0,5902996.0,42314822.0,Shopee,104.0,Terdaftar,2013,36411826.0,204000000.0,104.0
28828594,UD. Tari Jayeng,Pendidikan,14.0,18.0,6031918.0,20499344.0,Shopee,173.0,Terdaftar,2016,14467426.0,96000000.0,173.0
28828595,UD. Uli Widhi,unknown,29.0,37.0,3991688.0,5435097.0,Bukalapak,327.0,Belum Terdaftar,2016,1443409.0,198000000.0,327.0
28828596,UD. Clarissa Cahaya,Kesehatan,25.0,78.0,1501660.0,15602357.0,Tokopedia,545.0,Terdaftar,2005,14100697.0,309000000.0,545.0
28828597,UD. Nisa Hastinapura,Pendidikan,93.0,32.0,3956511.0,23171998.0,Lazada,991.0,Belum Terdaftar,2012,19215487.0,375000000.0,991.0
28828598,UD. Chiko Suryaatmaja,Perdagangan,68.0,89.0,2523098.0,3962038.0,Tokopedia,914.0,Terdaftar,2006,1438940.0,471000000.0,914.0
28828599,UD. Damar Panji,Kesehatan,94.0,52.0,3862258.0,2895777.0,Lazada,195.0,Belum Terdaftar,2008,-966481.0,438000000.0,195.0
28828600,UD. Qayla Sukarela,Kesehatan,21.0,29.0,6295985.4,36832017.0,Tokopedia,58.0,Terdaftar,2015,30437016.0,150000000.0,58.0
28828601,UD. Kinan Buana,Perdagangan,53.0,74.0,8687490.0,22517544.0,Website Sendiri,218.0,Belum Terdaftar,2004,13830054.0,381000000.0,218.0
28828602,UD. Niken Lintang,Data tidak tersedia,57.0,64.0,2003545.0,21451451.0,Lazada,235.0,Belum Terdaftar,2016,19447906.0,363000000.0,235.0
28828603,UD. Lidya Pamungkas,Jasa,78.0,13.0,8284243.0,24895018.0,Tokopedia,190.0,Belum Terdaftar,2000,16610775.0,273000000.0,190.0
28828604,UD. Farid Agastya,Pendidikan,52.0,9.0,1435120.0,3900557.0,Bukalapak,788.0,Belum Terdaftar,2008,2465437.0,183000000.0,788.0
28828605,UD. Yumna Sentosa,Perdagangan,98.0,16.0,3298391.0,6939332.0,Shopee,399.0,Belum Terdaftar,2024,3640941.0,342000000.0,399.0
28828606,UD. Yusuf Suryaputra,Fashion,18.0,74.0,6119793.0,19493654.0,Tokopedia,964.0,Belum Terdaftar,2017,13373861.0,276000000.0,964.0
28828607,UD. Krisna Trisula,Fashion,33.0,14.0,8313438.0,20043328.0,Tokopedia,956.0,Terdaftar,2017,11729890.0,141000000.0,956.0
28828608,UD. Heri Wiyata,Makanan & Minuman,81.0,75.0,3281572.0,8348563.0,Shopee,186.0,Terdaftar,2012,5066991.0,468000000.0,186.0
28828609,UD. Anang Baswara,Makanan & Minuman,13.0,2.0,5316536.0,47636417.0,Lazada,608.0,Terdaftar,2008,42319881.0,45000000.0,608.0
28828610,UD. Gilang Galang,Makanan & Minuman,21.0,21.0,5753490.0,41790652.0,Lazada,505.0,Terdaftar,2020,36037162.0,126000000.0,505.0
28828611,UD. Sekar Trijaya,Fashion,87.0,55.0,1564818.0,3613229.0,Website Sendiri,122.0,Terdaftar,2006,2048411.0,426000000.0,122.0
28828612,UD. Diyan Prawira,Perdagangan,12.0,58.0,1537363.0,29509796.0,Website Sendiri,768.0,Terdaftar,2004,27972433.0,210000000.0,768.0
28828613,UD. Fajar Darussalam Lukita,Jasa,63.0,25.0,4279679.0,14336128.0,Website Sendiri,130.0,Belum Terdaftar,2023,10056449.0,264000000.0,130.0
28828614,UD. Yumna Wira,Perdagangan,55.0,49.0,9483812.0,15051081.0,Bukalapak,952.0,Data tidak tersedia,2007,5567269.0,312000000.0,952.0
28828615,UD. Sani Segar,Makanan & Minuman,71.0,86.0,4595843.0,48877366.0,Shopee,822.0,Terdaftar,2022,44281523.0,471000000.0,822.0
28828616,UD. Nazar Baruna,Perdagangan,41.0,79.0,8471642.0,19591921.0,Lazada,58.0,Belum Terdaftar,2000,11120279.0,360000000.0,58.0
28828617,UD. Nazar Dwijaputra Dito,Fashion,65.0,60.0,6367533.0,16430952.0,Data tidak tersedia,177.0,Terdaftar,2000,10063419.0,375000000.0,177.0
28828618,UD. Lutfi Reswara,Makanan & Minuman,62.0,54.0,2253804.0,21170169.0,Website Sendiri,227.0,Terdaftar,2023,18916365.0,348000000.0,227.0
28828619,UD. Ujang Wibawa,Perdagangan,41.0,63.0,8197878.0,11057708.0,Shopee,786.0,Belum Terdaftar,2022,2859830.0,312000000.0,786.0
28828620,UD. Jafar Sanjaya,Jasa,90.0,2.0,4532792.0,15019139.0,Website Sendiri,785.0,Terdaftar,2020,10486347.0,276000000.0,785.0
28828621,UD. Xenia Nirbayu,Makanan & Minuman,33.0,29.0,5234170.0,21124439.0,Tokopedia,442.0,Terdaftar,2012,15890269.0,186000000.0,442.0
28828622,UD. Jihan Gatra,Jasa,28.0,57.0,2198887.0,3043503.0,Website Sendiri,189.0,Belum Terdaftar,2017,844616.0,255000000.0,189.0
28828623,UD. Dewi Mandiri,Pendidikan,25.0,12.0,5082393.0,44835866.0,Shopee,503.0,Belum Terdaftar,2001,39753473.0,111000000.0,503.0
28828624,UD. Fikri Jaladara,Kesehatan,22.0,71.0,8521201.0,31411063.0,Lazada,803.0,Belum Terdaftar,2008,22889862.0,279000000.0,803.0
28828625,UD. Lukman Wangi,Perdagangan,35.0,23.0,2349733.0,19402681.0,Shopee,765.0,Terdaftar,2022,17052948.0,174000000.0,765.0
28828626,UD. Jasmin Prajurit,Perdagangan,8.0,68.0,9078456.0,46549795.0,Lazada,405.0,Terdaftar,2005,37471339.0,228000000.0,405.0
28828627,UD. Ony Mayang,Kesehatan,84.0,6.0,5652991.0,33930538.0,Shopee,618.0,Terdaftar,2020,28277547.0,270000000.0,618.0
28828628,UD. Gema Prana,Jasa,41.0,50.0,9929308.0,2320739.0,Shopee,502.0,Terdaftar,2024,-7608569.0,273000000.0,502.0
28828629,UD. Celsi Cahyaningrat,Kesehatan,99.0,53.0,3607300.0,5946689.0,Lazada,329.0,Terdaftar,2018,2339389.0,456000000.0,329.0
,UD. Ucup Tirtayasa,Makanan & Minuman,66.0,50.0,9754163.0,40253559.0,Tokopedia,720.0,Terdaftar,2023,30499396.0,348000000.0,720.0
28828631,UD. Hilmiyah Tunggul,Jasa,6.0,26.0,3383876.0,4000272.0,Shopee,384.0,Belum Terdaftar,2021,616396.0,96000000.0,384.0
28828632,UD. Cipta Nawasena Qira,Perdagangan,22.0,11.0,3625751.0,8055755.0,Shopee,857.0,Terdaftar,2014,4430004.0,99000000.0,857.0
28828633,UD. Ony Nawasena,Pendidikan,31.0,40.0,9283358.0,28633735.0,Bukalapak,675.0,Belum Terdaftar,2008,19350377.0,213000000.0,675.0
28828634,UD. Livia Wijaya,Jasa,22.0,88.0,624431.0,22106121.0,Website Sendiri,98.0,Terdaftar,2013,21481690.0,330000000.0,98.0
28828635,UD. Carissa Rejo,Pendidikan,15.0,32.0,1713807.0,49053971.0,Bukalapak,385.0,Terdaftar,2008,47340164.0,141000000.0,385.0
28828636,UD. Qisya Berkarya Pandu,Perdagangan,68.0,78.0,2876700.0,21587581.0,Shopee,556.0,Belum Terdaftar,2020,18710881.0,438000000.0,556.0
28828637,UD. Ujang Kusumah Erlangga,Jasa,12.0,30.0,5601571.0,14916664.0,Shopee,628.0,Belum Terdaftar,2022,9315093.0,126000000.0,628.0
28828638,UD. Nina Sanjaya,Pendidikan,9.0,10.0,1317922.0,10659378.0,Shopee,358.0,Terdaftar,2021,9341456.0,57000000.0,358.0
28828639,UD. Jihan Prima,Jasa,58.0,35.0,8823691.0,36100504.0,Tokopedia,443.0,Belum Terdaftar,2001,27276813.0,279000000.0,443.0
28828640,UD. Mira Kelana,Kesehatan,1.0,5.0,8472112.0,31463643.0,Bukalapak,243.0,Belum Terdaftar,2007,22991531.0,18000000.0,243.0
28828641,UD. Jaya Ayodya,Jasa,79.0,44.0,9556446.0,27716675.0,Website Sendiri,869.0,Terdaftar,2014,18160229.0,415200000.0,869.0
28828642,UD. Niken Arya,Perdagangan,51.0,59.0,5654448.0,20659180.0,Tokopedia,153.0,Belum Terdaftar,2023,15004732.0,330000000.0,153.0
28828643,UD. Sekar Siang,Kesehatan,0.0,89.0,4576055.0,13784473.0,Lazada,604.0,Terdaftar,2011,9208418.0,267000000.0,604.0
28828644,UD. Hanafi Bagaskara,Perdagangan,69.0,71.0,1275561.0,21044172.0,Shopee,689.0,Terdaftar,2008,19768611.0,420000000.0,689.0
28828645,UD. Gema Wijaksana,Perdagangan,53.0,36.0,3859502.0,26304658.0,Tokopedia,783.0,Belum Terdaftar,2010,22445156.0,267000000.0,783.0
28828646,UD. Eddy Wira,Perdagangan,18.0,29.0,4545348.0,34126892.0,Lazada,612.0,Terdaftar,2016,29581544.0,141000000.0,612.0
28828647,UD. Marsel Gandewa,Jasa,96.0,37.0,2446193.0,42005804.0,Shopee,76.0,Terdaftar,2013,39559611.0,399000000.0,76.0
28828648,UD. Niken Ananta,Perdagangan,27.0,15.0,1453143.0,43793219.0,Tokopedia,602.4,Terdaftar,2005,42340076.0,126000000.0,666.0
28828649,UD. Qyla Prana Balqis,Jasa,4.0,78.0,4391363.0,49396220.0,Shopee,809.0,Terdaftar,2019,45004857.0,246000000.0,809.0
28828650,UD. Prananda Manggala,Pendidikan,75.0,37.0,1751832.0,43957907.0,Bukalapak,417.0,Data tidak tersedia,2021,42206075.0,336000000.0,417.0
28828651,UD. Qanita Mandiri,Perdagangan,29.0,52.0,9060988.0,12455336.0,Shopee,684.0,Terdaftar,2002,3394348.0,243000000.0,684.0
28828652,UD. Tania Madani,Pendidikan,80.0,7.0,6910775.0,22777305.0,Website Sendiri,105.0,Terdaftar,2024,15866530.0,261000000.0,105.0
28828653,UD. Wulan Sukma Fikri,Kesehatan,18.0,98.0,7023060.0,38011563.0,Website Sendiri,574.0,Terdaftar,2012,30988503.0,348000000.0,574.0
28828654,UD. Chiko Tejakencana Pandu,Makanan & Minuman,41.0,8.0,7011130.0,41076645.0,Shopee,901.0,Terdaftar,2015,34065515.0,147000000.0,901.0
28828655,UD. Candra Kalbu,Perdagangan,24.0,20.0,5748456.0,35167429.0,Tokopedia,920.0,Terdaftar,2011,29418973.0,132000000.0,920.0
28828656,UD. Delia Paseban,Jasa,34.0,40.0,9619374.0,35581221.0,Lazada,942.0,Belum Terdaftar,2021,25961847.0,222000000.0,942.0
28828657,UD. Taufan Jatiwangi,Perdagangan,8.0,68.0,5995579.0,8846732.0,Lazada,418.0,Terdaftar,2012,2851153.0,228000000.0,418.0
28828658,UD. Kamil Nirmala,Perdagangan,95.0,18.0,514600.0,2703541.0,Website Sendiri,606.0,Terdaftar,2021,2188941.0,339000000.0,606.0
28828659,UD. Damar Wibawa,Makanan & Minuman,38.0,79.0,2653894.0,12152355.0,Website Sendiri,983.0,Terdaftar,2018,9498461.0,351000000.0,983.0
28828660,UD. Berlian Cempaka,Perdagangan,55.0,17.0,8390333.0,11467618.0,Tokopedia,416.0,Terdaftar,2020,3077285.0,216000000.0,416.0
28828661,UD. Riko Wening,Fashion,37.0,75.0,5983839.0,26039591.0,Bukalapak,64.0,Terdaftar,2008,20055752.0,336000000.0,64.0
28828662,UD. Fani Manik,Fashion,14.0,79.0,983727.0,33508384.0,Website Sendiri,16.0,Terdaftar,2023,32524657.0,279000000.0,16.0
28828663,UD. Xenia Paningrat Najwa,Jasa,45.0,4.0,2992835.0,22527761.0,Website Sendiri,270.0,unknown,2009,19534926.0,147000000.0,270.0
28828664,UD. Wira Gatra,Jasa,36.0,66.0,3638845.0,23829753.0,Shopee,983.0,Terdaftar,2018,20190908.0,306000000.0,983.0
28828665,UD. Jay Wiyata,Perdagangan,89.0,70.0,9687373.0,7985555.0,Bukalapak,860.0,Terdaftar,2016,-1701818.0,477000000.0,860.0
28828666,UD. Lono Senopati,Perdagangan,59.0,31.0,3995268.0,18040058.0,Bukalapak,628.0,Terdaftar,2021,13740666.0,270000000.0,628.0
28828667,UD. Via Wijapranata Yusuf,Makanan & Minuman,61.0,94.0,6403103.0,44398258.0,Website Sendiri,720.0,Belum Terdaftar,2006,37995155.0,465000000.0,720.0
28828668,UD. Krisna Segar,Data tidak tersedia,30.0,77.0,8955003.0,2617312.0,Shopee,977.0,Terdaftar,2024,-6337691.0,321000000.0,977.0
,UD. Pasha Atma,Makanan & Minuman,29.0,87.0,6198421.0,14974366.0,Tokopedia,589.0,Terdaftar,2023,8775945.0,348000000.0,589.0
28828670,UD. Vidi Warna,Pendidikan,65.0,47.0,4581101.0,4193956.0,Lazada,15.0,Belum Terdaftar,2016,-387145.0,315600000.0,15.0
28828671,UD. Gusti Sanjaya,Pendidikan,6.0,32.0,1488268.0,26726330.8,Website Sendiri,901.0,Belum Terdaftar,2013,19366444.0,114000000.0,901.0
28828672,UD. Pandu Adhi,Jasa,29.0,68.0,7904087.0,33026450.0,Lazada,878.0,Terdaftar,2003,25122363.0,291000000.0,878.0
28828673,UD. Zulkarnaen Agastya,Perdagangan,32.0,71.0,9510396.0,42483616.0,Lazada,915.0,Belum Terdaftar,2015,32973220.0,309000000.0,915.0
28828674,UD. Qanitah Nusa,Perdagangan,37.0,1.0,5198349.0,35555936.0,Lazada,827.0,Belum Terdaftar,2019,30357587.0,114000000.0,827.0
28828675,UD. Wira Kamajaya,Perdagangan,83.0,53.0,6846532.0,30415011.0,Website Sendiri,517.0,Terdaftar,2000,23568479.0,408000000.0,517.0
28828676,UD. Anisa Galuh,Kesehatan,18.0,41.0,9388786.0,45365124.0,Tokopedia,890.0,Belum Terdaftar,2005,35976338.0,177000000.0,890.0
28828677,UD. Iqra Abadi,Perdagangan,8.0,34.0,9466333.0,7317305.0,Bukalapak,261.0,Terdaftar,2016,-2149028.0,126000000.0,261.0
28828678,UD. Ucup Jatiwangi,Kesehatan,85.0,60.0,5690300.0,49554542.0,Shopee,407.0,Belum Terdaftar,2017,43864242.0,435000000.0,407.0
28828679,UD. Desi Tirta,Jasa,31.0,59.0,9647996.0,21893566.0,Bukalapak,534.0,Belum Terdaftar,2017,12245570.0,270000000.0,534.0
28828680,UD. Lukita Panji,Pendidikan,29.0,97.0,2581966.4,32255212.0,Shopee,633.0,Belum Terdaftar,2020,31172085.0,378000000.0,633.0
28828681,UD. Okta Tejakencana,Perdagangan,5.0,93.0,4729202.0,26166349.0,Bukalapak,883.0,Terdaftar,2024,21437147.0,294000000.0,883.0
28828682,UD. Farhan Sukarela Qomar,Perdagangan,60.0,48.0,7768394.0,25032131.0,Website Sendiri,265.0,Belum Terdaftar,2011,17263737.0,324000000.0,265.0
28828683,UD. Qamar Bahagia,Makanan & Minuman,80.0,22.0,4933187.0,45639857.0,Website Sendiri,895.0,Belum Terdaftar,2004,40706670.0,306000000.0,895.0
28828684,UD. Ina Sumirat,Jasa,36.0,67.0,6064560.0,11604241.0,Lazada,80.0,Terdaftar,2016,5539681.0,309000000.0,80.0
28828685,UD. Lidya Cinta,Perdagangan,78.0,34.0,3297749.0,32063713.0,Shopee,414.0,Terdaftar,2019,28765964.0,336000000.0,414.0
28828686,UD. Balqis Sehat,Jasa,70.0,13.0,4389594.0,26914736.0,Tokopedia,372.4,Terdaftar,2004,22525142.0,249000000.0,746.0
28828687,UD. Alya Sukarela,Pendidikan,77.0,21.0,7742494.0,7072143.0,Website Sendiri,404.0,Belum Terdaftar,2009,-670351.0,294000000.0,404.0
28828688,UD. Adinda Putra,Kesehatan,19.0,29.0,6818061.0,1546138.0,Shopee,15.0,Terdaftar,2003,-5271923.0,144000000.0,15.0
28828689,UD. Salwa Malam,Pendidikan,29.0,2.0,4324406.0,9152979.0,Website Sendiri,429.0,Belum Terdaftar,2010,4828573.0,93000000.0,429.0
28828690,UD. Vega Putra,Jasa,17.0,74.0,2619311.0,31575615.0,Tokopedia,596.0,Belum Terdaftar,2018,28956304.0,273000000.0,596.0
28828691,UD. Cipta Citra,Jasa,62.0,9.0,8453097.0,47037549.0,Shopee,576.0,Belum Terdaftar,2008,38584452.0,213000000.0,576.0
28828692,UD. Farid Darma,Kesehatan,60.0,66.0,668929.0,27034322.0,Lazada,43.0,Belum Terdaftar,2000,26365393.0,378000000.0,43.0
28828693,UD. Qais Sari,Perdagangan,56.0,40.0,1833661.0,37695680.0,Shopee,487.0,Terdaftar,2021,35862019.0,288000000.0,487.0
28828694,UD. Pandu Mulya,Pendidikan,21.0,47.0,7834514.0,39300093.0,Tokopedia,722.0,Belum Terdaftar,2021,31465579.0,204000000.0,722.0
28828695,UD. Vita Kalbu,Perdagangan,88.0,49.0,7823436.0,44900616.0,Lazada,848.0,Terdaftar,2021,37077180.0,411000000.0,848.0
28828696,UD. Utha Mulya Tami,Perdagangan,87.0,68.0,8166464.0,40243035.0,Website Sendiri,951.0,Belum Terdaftar,2012,32076571.0,465000000.0,951.0
28828697,UD. Fitri Manunggal,Pendidikan,94.0,57.0,6216996.0,4835731.0,Lazada,814.0,Terdaftar,2014,-1381265.0,453000000.0,814.0
28828698,UD. Rosa Nirbayu,Jasa,48.0,14.0,2284119.0,6474127.0,Website Sendiri,965.0,Terdaftar,2004,4190008.0,186000000.0,965.0
28828699,UD. Jodi Kinarya,Perdagangan,17.0,47.0,5772091.0,19593100.0,Tokopedia,923.0,Terdaftar,2015,13821009.0,192000000.0,923.0
28828700,UD. Marsel Indah,Kesehatan,97.0,5.0,7709862.0,20021216.0,Bukalapak,570.0,Belum Terdaftar,2018,12311354.0,306000000.0,570.0
28828701,UD. Marsel Anggara,Perdagangan,60.0,3.0,3167245.0,32833474.0,Bukalapak,102.0,Belum Terdaftar,2008,29666229.0,189000000.0,102.0
,UD. Fikri Saprahan,Kesehatan,81.0,22.0,6471002.0,48263438.0,Tokopedia,350.0,Belum Terdaftar,2021,41792436.0,309000000.0,350.0
28828703,UD. Lono Pagi,Pendidikan,77.0,44.0,6530226.0,23618639.0,Website Sendiri,919.0,Terdaftar,2018,17088413.0,363000000.0,919.0
28828704,UD. Gracia Wening,Perdagangan,67.0,64.0,1678922.0,30925502.0,Lazada,793.0,Belum Terdaftar,2004,29246580.0,393000000.0,793.0
28828705,UD. Zahira Sehat,Jasa,6.0,55.0,4660357.0,28711773.0,Website Sendiri,163.0,Belum Terdaftar,2009,24051416.0,183000000.0,163.0
28828706,UD. Fahmi Paseban,Perdagangan,6.0,97.0,8775493.0,9318872.0,Bukalapak,126.0,Belum Terdaftar,2000,543379.0,309000000.0,126.0
28828707,UD. Lutfi Prajurit Lukita,Kesehatan,64.0,62.0,6110896.0,2734733.0,Lazada,232.0,Belum Terdaftar,2024,-3376163.0,378000000.0,232.0
28828708,UD. Farhan Artha,Kesehatan,39.0,14.0,8143858.0,12367808.0,Shopee,316.0,Belum Terdaftar,2007,4223950.0,159000000.0,316.0
28828709,UD. Vidi Siang Pasha,Pendidikan,23.0,3.0,7102010.0,45711456.0,Bukalapak,514.0,Belum Terdaftar,2023,38609446.0,78000000.0,514.0
28828710,UD. Eni Lempung,Kesehatan,31.0,90.0,9345476.0,10948708.0,Tokopedia,596.0,Belum Terdaftar,2022,1603232.0,363000000.0,596.0
28828711,UD. Rian Trisaktiatma Elyas,Jasa,9.0,76.0,2136222.0,31990500.0,Lazada,361.0,Belum Terdaftar,2011,29854278.0,255000000.0,361.0
28828712,UD. Mega Kencana Qiana,Jasa,8.0,31.0,4725317.0,3055356.0,Website Sendiri,867.0,Belum Terdaftar,2005,-1669961.0,117000000.0,867.0
28828713,UD. Mario Ayodya,Pendidikan,38.0,8.0,8938648.0,47191623.0,Shopee,328.0,Terdaftar,2001,38252975.0,138000000.0,328.0
28828714,UD. Oki Bima,Pendidikan,2.0,88.0,4543115.0,10845504.0,Bukalapak,938.0,Belum Terdaftar,2006,6302389.0,270000000.0,938.0
28828715,UD. Isna Sunardi,Makanan & Minuman,98.0,56.0,8175371.0,6904087.0,Lazada,69.0,Terdaftar,2002,-1271284.0,462000000.0,69.0
28828716,UD. Rangga Gandewa,Perdagangan,68.0,66.0,4643502.0,36564026.0,Bukalapak,686.0,Belum Terdaftar,2004,31920524.0,402000000.0,686.0
28828717,UD. Vina Lingga,Jasa,6.0,38.0,5412783.0,40562865.0,Tokopedia,916.0,Terdaftar,2019,35150082.0,340200000.0,916.0
28828718,UD. Priska Utamaindah,Jasa,11.0,39.0,3374122.0,13118720.0,Bukalapak,669.0,Belum Terdaftar,2016,9744598.0,150000000.0,669.0
28828719,UD. Habib Wicaksana Heri,Perdagangan,22.0,15.0,2004492.0,27739373.0,Website Sendiri,726.0,Belum Terdaftar,2022,25734881.0,111000000.0,726.0
28828720,UD. Tasya Sejahtera,Perdagangan,88.0,80.0,5767326.0,31815146.0,Website Sendiri,427.0,Belum Terdaftar,2000,26047820.0,504000000.0,427.0
28828721,UD. Barokah Jayengprana,Perdagangan,62.0,90.0,3724723.0,14597303.0,Tokopedia,709.0,Terdaftar,2019,10872580.0,456000000.0,709.0
28828722,UD. Yani Raharja Ulil,Jasa,16.0,9.0,7312656.0,12475465.0,unknown,874.0,Belum Terdaftar,2007,5162809.0,75000000.0,874.0
28828723,UD. Vera Citra,Pendidikan,77.0,52.0,1428796.0,45430601.0,Shopee,323.0,Belum Terdaftar,2013,44001805.0,387000000.0,323.0
28828724,UD. Xenia Manunggal,Pendidikan,98.0,64.0,8011901.0,29918845.0,Lazada,692.0,Belum Terdaftar,2012,21906944.0,486000000.0,692.0
28828725,UD. Ulya Jayeng,Perdagangan,63.0,49.0,6430384.0,35305109.0,Bukalapak,205.0,Terdaftar,2011,28874725.0,336000000.0,205.0
28828726,UD. Pandu Bijaksana,Jasa,64.0,28.0,5525997.0,28183026.0,Tokopedia,575.0,Belum Terdaftar,2024,22657029.0,276000000.0,575.0
28828727,UD. Agus Asmaralaya,Perdagangan,85.0,17.0,8560631.0,24678508.0,Lazada,465.0,Belum Terdaftar,2024,16117877.0,306000000.0,465.0
28828728,UD. Halimah Agastya,Perdagangan,27.0,51.0,625732.0,24037128.0,Tokopedia,123.0,Terdaftar,2023,23411396.0,234000000.0,123.0
28828729,UD. Jay Kusen Umi,Pendidikan,57.0,31.0,5761132.0,18854152.0,Tokopedia,453.0,Belum Terdaftar,2004,13093020.0,264000000.0,453.0
28828730,UD. Qira Wiraatmaja,Kesehatan,86.0,32.0,4155547.0,17819815.0,Shopee,788.0,Belum Terdaftar,2021,13664268.0,354000000.0,788.0
28828731,UD. Cakra Bahagia Aldo,Perdagangan,17.0,85.0,7668440.0,16707622.0,Website Sendiri,203.0,Terdaftar,2001,9039182.0,306000000.0,203.0
28828732,UD. Ucup Pusaka,Perdagangan,43.0,10.0,1846066.0,4216980.0,Lazada,31.0,Terdaftar,2008,2370914.0,159000000.0,31.0
28828733,UD. Wesly Hastinapura,Jasa,63.0,28.0,8910181.0,45870750.0,Shopee,13.0,Terdaftar,2001,36960569.0,273000000.0,13.0
,UD. Jasmine Saputra,Pendidikan,36.0,19.0,6310803.0,30142721.0,Website Sendiri,51.0,Belum Terdaftar,2000,23831918.0,165000000.0,51.0
